key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
147311@f99c4705a853,0.06608439733031304,0.25094701019234067,0.4054381801753935,0.38758730820425163,0.3214113867723197,0.16666666666666666,1.0,1.0,1.0,1,0.0625,true
168472@eaf43055f658,0.816110086311535,0.7015815654631168,0.7270539814176639,0.653475242730424,0.7484385369017538,0.25,0.07142857142857142,1.0,1.0,0,0.25,true
160498@02e7650a3e2d,0.11297202341832605,0.16155788157855885,0.29913674347060804,0.24889939968594305,0.29338558422962024,1.0,0.5,1.0,0.830124569620279,1,1.0,true
145505@63608ddca04e,0.17905642074863906,0.28335683364996944,0.30533033178017055,0.21526261328334842,0.3339166318896398,0.5,0.3333333333333333,1.0,1.0,1,1.0,true
159974@b8c02c64be7c,0.11297202341832605,0.3092355778889529,0.4626183240030097,0.46261862568673695,0.0,0.3333333333333333,0.16666666666666666,1.0,1.0,1,1.0,true
153790@56190e94ae3f,0.06608439733031304,0.08938912861378186,0.2975191965758062,0.24889939968594305,0.28966484899056094,0.3333333333333333,1.0,1.0,1.0,1,1.0,true
184272@8559551465d2,0.9771239714375873,0.9192997660272638,0.9469898526770555,0.9469904702302598,0.0,1.0,0.1111111111111111,1.0,0.0,1,1.0,true
151402@9ebacdc7ab3f,0.5179724910036173,0.6272263784862637,0.5834276147265821,0.5393097149583956,0.569480094530962,1.0,0.07692307692307693,1.0,0.7885809236536335,1,1.0,true
164149@6c08609a8a8b,0.22594404683665206,0.3797185388412312,0.471972845483452,0.41906629538333917,0.469170218599686,1.0,1.0,1.0,1.0,1,1.0,true
170716@fa6299672e40,0.22594404683665206,0.2903294102274493,0.5108316704889717,0.401425643245588,0.5501061061467958,0.08333333333333333,0.5,1.0,1.0,1,1.0,true
164761@4a1642c30e63,0.3283973124415973,0.3492335459308247,0.5388665933202142,0.49867122103306155,0.5177213568000233,0.3333333333333333,0.5,1.0,1.0,1,1.0,true
164762@8559551465d2,0.9771239714375873,0.9192997660272638,0.9469898526770555,0.9469904702302598,0.0,1.0,0.5,1.0,0.439014138673217,1,1.0,true
164590@26847aebc78f,0.5596855815960106,0.6532860575182532,0.7303216791971582,0.7297945519251913,0.33847484949608225,0.017543859649122806,0.1,1.0,0.830124569620279,1,1.0,true
150791@8559551465d2,0.9771239714375873,0.9192997660272638,0.9469898526770555,0.9469904702302598,0.0,0.5,0.038461538461538464,1.0,0.36443642292332173,1,1.0,true
