key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
44117@6f3a860305c3,0.36377750510594475,0.4200343734220062,0.4860601102418056,0.4541887019187317,0.4540167925044702,0.125,0.08333333333333333,1.0,0.162270542078285,1,0.058823529411764705,false
44117@1c6db5d4f24f,0.46555885838580097,0.5014485912949704,0.5022825666009673,0.5178081908575634,0.29467576531905987,0.125,0.5,1.0,0.299010904108951,1,0.045454545454545456,false
44117@d842c4f11396,1.0,0.9964930869667594,0.962336948496296,1.0,0.0,0.125,1.0,1.0,0.0,1,0.08333333333333333,false
44117@5a88b84f70a0,0.26139779051937945,0.3259131027932227,0.5088437224941955,0.47065754461691073,0.48531193918321963,0.3333333333333333,0.07692307692307693,1.0,0.2695292484094901,1,1.0,false
44117@cb46b4aa17ef,0.37244708670864074,0.4280046245558451,0.6792514291353741,0.6463727655813264,0.6662348153547005,0.14285714285714285,0.1,1.0,0.13137839700897533,1,0.14285714285714285,false
44117@fd8aebb98542,0.2406904381611693,0.3068761058335884,0.33715476363760205,0.29940733600439423,0.2985732304288607,0.1,0.1111111111111111,1.0,0.013117246229326307,1,0.16666666666666666,false
44117@0bbb4f252a1e,0.09311177167716018,0.17120184982233802,0.3470415582227856,0.2976397671902014,0.32011454641867293,0.25,0.06666666666666667,1.0,0.41761999721628057,1,1.0,false
44117@7218c96f13f6,0.18622354335432037,0.25680277473350704,0.42837283710916374,0.414335492598223,0.36292833194710145,0.25,0.14285714285714285,1.0,0.41761999721628057,1,0.3333333333333333,false
44117@b66fddbb4931,0.26139779051937945,0.3259131027932227,0.3571487057180846,0.32711071919002493,0.3108871241512191,0.25,0.07142857142857142,1.0,0.299010904108951,1,0.5,false
44117@68f63508828d,0.30931061029909585,0.36996104232192484,0.36725585321338367,0.3652976091817568,0.25713084663209507,0.1111111111111111,0.2,1.0,1.0,1,1.0,false
44117@d5c2eadfa5e8,0.14757866648400914,0.22127518092241938,0.5473993318949233,0.5109941051140808,0.5256758585335185,0.1,0.125,1.0,0.013117246229326307,1,1.0,false
44117@7e005f179e51,0.09311177167716018,0.17120184982233802,0.39989187774158214,0.41473988167445225,0.08775955435224699,0.25,0.16666666666666666,1.0,0.5428657229282136,1,0.25,false
44117@c236b590dc97,0.09311177167716018,0.17120184982233802,0.491519833408015,0.4273812648335933,0.4849438178456595,0.14285714285714285,0.09090909090909091,1.0,0.13137839700897533,1,1.0,false
44117@2b8fa314f21e,0.3545095621965396,0.3569494369336697,0.3913599890842189,0.40112235461810525,0.20489376904731582,0.125,0.25,1.0,0.7674432176298361,1,0.3333333333333333,false
44117@9fca6d2c418c,0.18622354335432037,0.25680277473350704,0.3807597377526468,0.3738865159179505,0.2905783446883774,0.14285714285714285,0.3333333333333333,1.0,0.7674432176298361,1,0.5,false
