key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
124786@d31f25ca302d,0,0.178778,0.240062,0.186675,0.275283,0.01354,0.047619,1,0.35494,0,0.2,false
124786@dabaacb8e0c2,0.113173,0.193968,0.406414,0.405928,0.072303,1,0.5,1,0.595743,0,1,false
124786@85a4ffa434a5,0.066202,0.219846,0.281478,0.275424,0.144606,0.020588,1,1,1,0,0.5,false
124786@a2f859f65852,0.535072,0.649572,0.595127,0.531468,0.693291,0.040698,0.052632,1,0.487233,0,0.5,false
124786@f65b7d7a95c8,0,0,0.135023,0.112462,0.114597,0.011094,0.071429,1,1,1,0.25,false
124786@4780c4ff2851,0.149606,0.325721,0.412963,0.39935,0.351246,0.25,0.166667,1,1,0,1,false
124786@2687fa533e47,0.552582,0.534304,0.575524,0.554975,0.575949,0.01105,0.055556,0.117647,1,0,1,false
124786@f15277be8b1c,0.418789,0.372746,0.507116,0.441346,0.593567,0.333333,0.043478,1,0.342405,0,0.333333,false
124786@906c114f6a37,0.204543,0.250947,0.369039,0.363735,0.216909,0.011745,0.066667,1,0.821823,0,1,false
124786@52144a9a8eed,0.204543,0.303236,0.469844,0.416501,0.535105,0.011094,0.045455,1,1,1,0.2,false
124786@b1c4bbd466ca,0.292547,0.398625,0.461837,0.440354,0.448961,0.051095,0.090909,1,1,0,1,false
124786@afa073274618,0.767465,0.844189,0.88698,0.873308,0.898814,0.015251,0.029412,1,0.461183,0,1,false
12950@a312f3acff7a,0.328981,0.389518,0.55423,0.55423,0,0.333333,0.0625,1,1,1,1,true
12950@95de34f35c9a,0,0,0,0,0,0,0,0,0,0,0,true
12950@2ccd83e5265e,0,0,0.186674,0.135023,0.216909,0.071429,0.333333,1,1,0,0.25,false
12950@dbf9595a813a,0.066202,0.089389,0.223074,0.219253,0.072303,0.015748,0.058824,1,0.821823,0,0.5,false
12950@b13c3c93d6ed,0.149606,0.178778,0.206706,0.174687,0.20298,0.01626,0.066667,1,0.649353,0,0.066667,false
12950@fc2f87a798bb,0.113173,0.141678,0.266658,0.236912,0.259203,0.015748,0.2,1,0.552866,0,0.014085,false
12950@e482f2c5d40e,0.066202,0.118166,0.160849,0.12445,0.167882,0.083333,0.071429,1,0.649353,0,0.166667,false
12950@4d8a4a572925,0,0,0.168034,0.062225,0.240185,0.25,1,1,0.719996,0,0.037037,false
