default
-C 1 -N 0 -L 1.0e-3 -P 1.0e-15 -V -1 -W 1 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.173, 0.577, 0.731, 0.341, 0.335
0.500, 0.675, 0.675, 0.572, 0.535
0.579, 0.763, 0.789, 0.645, 0.614
0.610, 0.829, 0.878, 0.707, 0.676
0.667, 0.846, 0.846, 0.742, 0.696
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V 5 -W 1 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.173, 0.577, 0.731, 0.341, 0.335
0.500, 0.675, 0.675, 0.572, 0.535
0.605, 0.763, 0.789, 0.656, 0.615
0.610, 0.829, 0.878, 0.708, 0.682
0.667, 0.846, 0.846, 0.742, 0.696
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V 10 -W 1 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.173, 0.577, 0.731, 0.341, 0.335
0.500, 0.675, 0.675, 0.572, 0.535
0.605, 0.763, 0.789, 0.656, 0.615
0.610, 0.829, 0.878, 0.708, 0.682
0.667, 0.846, 0.846, 0.742, 0.696
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V -1 -W 3 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.154, 0.577, 0.712, 0.330, 0.323
0.500, 0.675, 0.675, 0.572, 0.536
0.105, 0.579, 0.789, 0.314, 0.318
0.610, 0.829, 0.878, 0.707, 0.676
0.667, 0.846, 0.846, 0.742, 0.696
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V -1 -W 5 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.500, 0.635, 0.692, 0.571, 0.554
0.500, 0.675, 0.675, 0.574, 0.538
0.605, 0.763, 0.789, 0.656, 0.615
0.610, 0.829, 0.878, 0.708, 0.682
0.667, 0.846, 0.846, 0.742, 0.697
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V -1 -W 7 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.173, 0.596, 0.731, 0.348, 0.342
0.500, 0.675, 0.675, 0.572, 0.536
0.605, 0.763, 0.789, 0.656, 0.615
0.610, 0.805, 0.878, 0.705, 0.674
0.667, 0.846, 0.846, 0.742, 0.696
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V -1 -W 9 -M
0.443, 0.738, 0.754, 0.565, 0.554
0.327, 0.615, 0.712, 0.453, 0.443
0.500, 0.675, 0.675, 0.572, 0.535
0.605, 0.763, 0.789, 0.656, 0.615
0.610, 0.805, 0.878, 0.705, 0.674
0.667, 0.846, 0.846, 0.742, 0.696
-C 1 -N 0 -L 1.0e-3 -P 1.0e-12 -V -1 -W 1
0.246, 0.590, 0.672, 0.394, 0.387
0.212, 0.596, 0.750, 0.381, 0.370
0.250, 0.600, 0.650, 0.395, 0.388
0.184, 0.579, 0.737, 0.347, 0.348
0.220, 0.463, 0.780, 0.349, 0.325
0.256, 0.718, 0.821, 0.428, 0.394
