default
0.361, 0.656, 0.754, 0.494, 0.485
0.519, 0.654, 0.731, 0.586, 0.565
0.475, 0.675, 0.700, 0.561, 0.532
0.579, 0.763, 0.789, 0.641, 0.615
0.585, 0.829, 0.878, 0.702, 0.698
0.641, 0.846, 0.846, 0.737, 0.713
-K
0.361, 0.656, 0.754, 0.494, 0.484
0.558, 0.654, 0.712, 0.604, 0.575
0.475, 0.675, 0.675, 0.565, 0.539
0.579, 0.763, 0.789, 0.641, 0.607
0.610, 0.829, 0.878, 0.714, 0.700
0.615, 0.846, 0.846, 0.715, 0.701
-D
0.262, 0.607, 0.721, 0.423, 0.422
0.346, 0.673, 0.769, 0.485, 0.460
0.425, 0.650, 0.700, 0.527, 0.515
0.342, 0.737, 0.763, 0.513, 0.495
0.366, 0.780, 0.878, 0.518, 0.497
0.462, 0.769, 0.846, 0.606, 0.578
