Logistic
0.249,0.633,0.764,0.409,0.394
0.324,0.663,0.786,0.470,0.447
0.349,0.675,0.766,0.488,0.468
0.324,0.663,0.786,0.470,0.447
0.324,0.663,0.786,0.470,0.447
0.324,0.663,0.786,0.470,0.447
0.307,0.651,0.782,0.458,0.434
0.307,0.651,0.782,0.458,0.434
0.307,0.651,0.782,0.458,0.434
0.339,0.665,0.766,0.475,0.455
0.333,0.651,0.773,0.469,0.450
0.337,0.663,0.765,0.473,0.453
0.366,0.678,0.777,0.500,0.482
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
0.349,0.675,0.766,0.488,0.468
