key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
56530@8e6eac6f99a4,0.30931061029909585,0.36996104232192484,0.3904949377124185,0.3581783655026259,0.350045879320064,0.25,1.0,1.0,1.0,1,0.5,true
56530@48954891c3a4,0.39553205673288594,0.4492274490175423,0.49934568453456946,0.49951940284168667,0.40591370327309156,0.25,0.5,1.0,1.0,1,1.0,true
56530@1ce59fe30727,0.2406904381611693,0.3068761058335884,0.449219092418163,0.42458440119739455,0.40441117266490534,0.25,0.3333333333333333,1.0,1.0,1,0.25,false
