key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
57592@da628f708b5b,0.26139779051937945,0.3259131027932227,0.40216278320471954,0.3828486309561034,0.3438181407387937,0.2857142857142857,0.3333333333333333,1.0,0.0,1,1.0,false
57592@6f4a955e5f94,0.09311177167716018,0.17120184982233802,0.2945764363351593,0.2531758563420432,0.25713084663209507,1.0,0.5,1.0,0.7013880127470121,1,1.0,false
57592@b0e29dccfd3b,0.14757866648400914,0.22127518092241938,0.41577625393826173,0.37785307916789246,0.3837557164918728,0.2,1.0,0.0,1.0,1,1.0,false
