key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
454411@c2e080fd4cdb,0.8914192510395651,0.9158932981554561,0.9789256458460868,0.962719667285011,0.9777588064476733,0.125,0.037037037037037035,1.0,0.01759957969792446,1,1.0,true
454411@bd6803034b95,0.9815903066669821,0.9880114002038715,0.9808985940115698,0.964769825976705,0.9798409917229282,0.0625,0.07142857142857142,1.0,0.0,1,1.0,true
454411@f357f309273e,0.4696924734913139,0.5174057271447146,0.6053270334372967,0.5669234212904397,0.590540865593547,0.07692307692307693,0.3333333333333333,1.0,0.36278272962498237,1,1.0,false
454411@5a11933bf440,0.34455449814064837,0.40236198736207207,0.45021373447286206,0.46274390963895734,0.25713084663209507,0.16666666666666666,0.5,1.0,0.42154597224518175,1,1.0,false
454411@841d4b99f7f8,0.32211380700730474,0.38173147113346423,0.6691757759814669,0.6811320362112946,0.5626230307400787,0.05555555555555555,0.05555555555555555,1.0,0.18383036086533416,1,1.0,false
454411@05092fa60fce,0.7718983420749447,0.7870796910718554,0.8696741039324298,0.9037106029144397,0.0,0.1111111111111111,0.045454545454545456,1.0,0.13969092658383064,1,1.0,false
454411@eca562f29be4,0.29515733296801827,0.3569494369336697,0.36666219392568866,0.3446617409643716,0.3092400103562635,0.08333333333333333,0.16666666666666666,1.0,0.7410939338712054,1,1.0,false
454411@4cad3f68ebca,0.34455449814064837,0.40236198736207207,0.35578486393390946,0.34563881566674526,0.27169509166929867,0.25,0.2,1.0,0.7410939338712054,1,1.0,false
454411@e93f2aed65e3,0.14757866648400914,0.22127518092241938,0.5258974939174781,0.4897389147829382,0.5019903920189179,0.05,0.07692307692307693,1.0,0.2744345407500353,1,1.0,false
454411@94cf6b4f7af3,0.26139779051937945,0.3259131027932227,0.3807597377526468,0.3908932206267226,0.18393553731705167,0.058823529411764705,0.05,1.0,0.49600061800719447,1,1.0,false
454411@4a258c24dea4,0.5707084008184753,0.6102732202039786,0.6885331861577126,0.6664829705609765,0.6652756036746105,0.03571428571428571,0.04,1.0,1.0,1,1.0,false
454411@df8a00dea42b,0.32211380700730474,0.38173147113346423,0.5374093715590703,0.5150403647289101,0.4987977197739565,0.1,0.058823529411764705,1.0,0.42154597224518175,1,1.0,false
454411@07ee10ab5650,0.26139779051937945,0.3259131027932227,0.35848840743789734,0.3363747674283851,0.30045289806748576,0.045454545454545456,0.043478260869565216,1.0,1.0,1,1.0,false
454411@f09e5b387a9b,0.29515733296801827,0.3569494369336697,0.4688617987353548,0.4549181059287875,0.4083567740755798,0.047619047619047616,0.047619047619047616,1.0,1.0,1,0.3333333333333333,false
454411@63c8a2ec89ea,0.37244708670864074,0.4280046245558451,0.33537371273048444,0.28610889052994176,0.3075582179460973,0.043478260869565216,0.09090909090909091,1.0,1.0,1,0.5,false
454411@a41993baceda,0.29515733296801827,0.3569494369336697,0.48057376615905206,0.49771438889369146,0.20489376904731582,0.05555555555555555,0.0625,1.0,0.2744345407500353,1,1.0,false
454411@bdd2ddc06125,0.43239767724387124,0.4831193099103427,0.6024204674903375,0.620651380376958,0.4187222251323505,0.037037037037037035,0.25,1.0,1.0,1,1.0,false
454411@44beb229da7a,0.29515733296801827,0.3569494369336697,0.45177846556810225,0.4657528804644932,0.23520823068737326,1.0,0.14285714285714285,1.0,0.7410939338712054,1,0.25,false
454411@416292d2f4be,0.37244708670864074,0.4280046245558451,0.4301968090104379,0.4093133507144017,0.3776340866561789,1.0,1.0,1.0,0.49600061800719447,1,1.0,false
454411@14c82497ad72,0.29515733296801827,0.3569494369336697,0.6287452929345139,0.5847768227147102,0.6203306561179113,0.043478260869565216,0.038461538461538464,1.0,1.0,1,1.0,false
454411@ea1fe8ed0528,0.32211380700730474,0.38173147113346423,0.41259548462626827,0.4273812648335933,0.12856542331604753,0.09090909090909091,0.125,1.0,1.0,1,1.0,false
454411@4cbee9c4edfc,0.45233521723030196,0.5014485912949704,0.5176879817780504,0.4875320585347915,0.486767691340688,0.038461538461538464,0.05263157894736842,1.0,0.7410939338712054,1,1.0,false
454411@b11c2e1026d6,0.18622354335432037,0.25680277473350704,0.3147907313257574,0.3233346259695549,0.11074022800200822,0.047619047619047616,0.06666666666666667,1.0,1.0,1,1.0,false
454411@28a527aa6466,0.18622354335432037,0.25680277473350704,0.46440809237657216,0.4806883090149567,0.19849978235425522,0.14285714285714285,0.1,1.0,0.42154597224518175,1,1.0,false
454411@6574ecf5c4b5,0.33380220983832953,0.3924770307447574,0.4711441175087348,0.48103633392820494,0.31715560855784763,0.3333333333333333,0.1111111111111111,1.0,0.5955023712328408,1,1.0,false
454411@af2f21c14591,0.39553205673288594,0.4492274490175423,0.5660314223358726,0.5318213777417464,0.5439209639550893,0.04,0.041666666666666664,1.0,1.0,1,1.0,false
454411@1a9d7bb0f33d,0.2406904381611693,0.3068761058335884,0.33262100315060944,0.3363747674283851,0.18393553731705167,0.06666666666666667,0.08333333333333333,1.0,0.49600061800719447,1,1.0,false
